ts_utc,strategy_return__mean_reversion_v1,strategy_return__momentum_v1,weight__mean_reversion_v1,weight__momentum_v1,gross_portfolio_return,portfolio_weight_change,portfolio_abs_weight_change,portfolio_turnover,portfolio_rebalance_event,portfolio_changed_sleeve_count,portfolio_transaction_cost,portfolio_fixed_fee,portfolio_slippage_proxy,portfolio_slippage_cost,portfolio_execution_friction,net_portfolio_return,portfolio_return
2025-05-30T04:00:00Z,0.0006102048117715,-5.295509758462159e-05,0.5,0.5,0.0002786248570934392,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0003315799546780608,0.0,0.0,0.0002786248570934392,0.0002786248570934392
2025-06-02T04:00:00Z,-0.00047813743803079995,-0.0008601527312292,0.5,0.5,-0.00066914508463,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00066914508463,0.0,0.0,-0.00066914508463,-0.00066914508463
2025-06-03T04:00:00Z,0.0002360152552095,0.0016360635024119,0.5,0.5,0.0009360393788107,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0009360393788107,0.0,0.0,0.0009360393788107,0.0009360393788107
2025-06-04T04:00:00Z,-0.0020050805346527,-0.0007270524736818,0.5,0.5,-0.00136606650416725,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00136606650416725,0.0,0.0,-0.00136606650416725,-0.00136606650416725
2025-06-05T04:00:00Z,0.0016735646872658003,-0.0011883847171093,0.5,0.5,0.00024258998507825018,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00143097470218755,0.0,0.0,0.00024258998507825018,0.00024258998507825018
2025-06-06T04:00:00Z,0.0011241122691593999,-0.0058337624747647,0.5,0.5,-0.00235482510280265,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00347893737196205,0.0,0.0,-0.00235482510280265,-0.00235482510280265
2025-06-09T04:00:00Z,-0.0010141920794208001,0.0006443098597812999,0.5,0.5,-0.00018494110981975013,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00082925096960105,0.0,0.0,-0.00018494110981975013,-0.00018494110981975013
2025-06-10T04:00:00Z,-0.0018567527016132997,0.0049430481072639,0.5,0.5,0.0015431477028253003,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0033999004044385998,0.0,0.0,0.0015431477028253003,0.0015431477028253003
2025-06-11T04:00:00Z,0.0010579511640078,0.0003925666673335001,0.5,0.5,0.0007252589156706501,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0007252589156706501,0.0,0.0,0.0007252589156706501,0.0007252589156706501
2025-06-12T04:00:00Z,-0.0017980750127906,0.004244112937238801,0.5,0.5,0.0012230189622241005,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0030210939750147004,0.0,0.0,0.0012230189622241005,0.0012230189622241005
2025-06-13T04:00:00Z,0.0042149936919017,-0.0016194809486089002,0.5,0.5,0.0012977563716464,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0029172373202553,0.0,0.0,0.0012977563716464,0.0012977563716464
2025-06-16T04:00:00Z,0.0023196424219680996,-0.0075817569082719,0.5,0.5,-0.0026310572431519,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00495069966512,0.0,0.0,-0.0026310572431519,-0.0026310572431519
2025-06-17T04:00:00Z,0.0002503624155983,-0.00021694402056430002,0.5,0.5,1.670919751699998e-05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0002336532180813,0.0,0.0,1.670919751699998e-05,1.670919751699998e-05
2025-06-18T04:00:00Z,-0.0016105871851760996,0.00045647625133320006,0.5,0.5,-0.0005770554669214498,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0010335317182546498,0.0,0.0,-0.0005770554669214498,-0.0005770554669214498
2025-06-20T04:00:00Z,0.0009026082167869999,0.0013600290295873003,0.5,0.5,0.00113131862318715,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00113131862318715,0.0,0.0,0.00113131862318715,0.00113131862318715
2025-06-23T04:00:00Z,0.004220734166014,-0.0033689220739918997,0.5,0.5,0.00042590604601105,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0037948281200029495,0.0,0.0,0.00042590604601105,0.00042590604601105
2025-06-24T04:00:00Z,-0.002818985186014,0.0026916914231716006,0.5,0.5,-6.36468814211998e-05,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0027553383045928,0.0,0.0,-6.36468814211998e-05,-6.36468814211998e-05
2025-06-25T04:00:00Z,-0.0018038429139199,0.0015634772769581,0.5,0.5,-0.00012018281848089995,0.0,0.0,0.0,0,0.0,0.0,0.0,0.001683660095439,0.0,0.0,-0.00012018281848089995,-0.00012018281848089995
2025-06-26T04:00:00Z,-0.0042250134281023,0.0008231528159007999,0.5,0.5,-0.00170093030610075,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00252408312200155,0.0,0.0,-0.00170093030610075,-0.00170093030610075
